feature,importance,importancia_bruta,modelo
instituicao_ensino,0.13043573069509956,0.13043572753667831,XGBoost
defasagem,0.11717093274597475,0.11717092990875244,XGBoost
fase_programa,0.11127422646910873,0.11127422377467155,XGBoost
ian,0.09375199157516638,0.09375198930501938,XGBoost
ipv,0.06214639322441651,0.0621463917195797,XGBoost
genero,0.05924787888344829,0.059247877448797226,XGBoost
inde_ano,0.059003265140657214,0.05900326371192932,XGBoost
inde_22,0.05743901198116533,0.057439010590314865,XGBoost
nota_portugues,0.03893148993348585,0.03893148899078369,XGBoost
media_notas,0.036889688073780284,0.036889687180519104,XGBoost
pedra_ano,0.036145388092640875,0.03614538721740246,XGBoost
ieg,0.03321254333809589,0.03321254253387451,XGBoost
idade,0.027534180056200067,0.027534179389476776,XGBoost
nota_matematica,0.02521377117890683,0.02521377056837082,XGBoost
ips,0.02394859178239795,0.023948591202497482,XGBoost
desalinhamento_autoavaliacao,0.023539562348303032,0.02353956177830696,XGBoost
media_comportamental,0.022133295028904147,0.022133294492959976,XGBoost
ida,0.021961087892752407,0.021961087360978127,XGBoost
iaa,0.020020971559495906,0.020020971074700356,XGBoost
nota_ingles,0.0,0.0,XGBoost
turma,0.0,0.0,XGBoost
