threshold,accuracy,precision,recall,f1
0.1,0.6655052264808362,0.6569872958257713,0.9917808219178083,0.7903930131004366
0.125,0.6829268292682927,0.672316384180791,0.9780821917808219,0.796875
0.15,0.7195121951219512,0.7,0.9780821917808219,0.816
0.175,0.7334494773519163,0.7128514056224899,0.9726027397260274,0.8227114716106605
0.2,0.7386759581881533,0.718052738336714,0.9698630136986301,0.8251748251748252
0.225,0.7421602787456446,0.7227926078028748,0.9643835616438357,0.8262910798122066
0.25,0.7439024390243902,0.7261410788381742,0.958904109589041,0.8264462809917356
0.275,0.7421602787456446,0.7333333333333333,0.9342465753424658,0.8216867469879519
0.3,0.7439024390243902,0.7411504424778761,0.9178082191780822,0.8200734394124847
0.325,0.7439024390243902,0.7477272727272727,0.9013698630136986,0.8173913043478261
0.35,0.7491289198606271,0.7563805104408353,0.8931506849315068,0.8190954773869347
0.375,0.7543554006968641,0.7654028436018957,0.8849315068493151,0.820838627700127
0.4,0.759581881533101,0.7761557177615572,0.873972602739726,0.8221649484536082
0.425,0.7560975609756098,0.7862595419847328,0.8465753424657534,0.8153034300791556
0.45,0.7630662020905923,0.8037135278514589,0.8301369863013699,0.816711590296496
0.475,0.7456445993031359,0.811965811965812,0.7808219178082192,0.7960893854748603
0.5,0.7526132404181185,0.8328358208955224,0.7643835616438356,0.7971428571428572
0.525,0.7560975609756098,0.8526645768025078,0.7452054794520548,0.7953216374269005
0.55,0.7508710801393729,0.8627450980392157,0.7232876712328767,0.7868852459016393
0.575,0.7334494773519163,0.8680555555555556,0.684931506849315,0.7656967840735069
0.6,0.7160278745644599,0.8768656716417911,0.6438356164383562,0.7424960505529226
0.625,0.7003484320557491,0.8784313725490196,0.6136986301369863,0.7225806451612903
0.65,0.6898954703832753,0.8785425101214575,0.5945205479452055,0.7091503267973857
0.675,0.6759581881533101,0.8841201716738197,0.5643835616438356,0.6889632107023411
0.7,0.6550522648083623,0.892018779342723,0.5205479452054794,0.657439446366782
0.725,0.6306620209059234,0.900523560209424,0.4712328767123288,0.6187050359712231
0.75,0.6149825783972126,0.9235294117647059,0.4301369863013699,0.5869158878504673
0.775,0.5905923344947736,0.922077922077922,0.38904109589041097,0.5472061657032755
0.8,0.5592334494773519,0.9444444444444444,0.32602739726027397,0.4847250509164969
0.825,0.5226480836236934,0.9595959595959596,0.2602739726027397,0.40948275862068967
0.85,0.4738675958188153,0.9701492537313433,0.1780821917808219,0.30092592592592593
0.875,0.42160278745644597,1.0,0.09041095890410959,0.1658291457286432
0.9,0.3780487804878049,1.0,0.021917808219178082,0.04289544235924933
